99.46007314246286, 82.38625062853356
128.8587597686923, 108.7214718843084
170.92487982128037, 148.23397045422627
200.3644062720379, 177.37517032952778
241.88910421568997, 219.28541301622508
300.7502901015738, 294.1414604817595
340.32288185675066, 346.2704344730086
401.3047440048005, 435.1292180145421
481.6575496933791, 583.6664734083946
601.5301556296322, 822.1839585711713
720.907459000018, 1089.4343459254349
843.8786423832544, 1420.1924839747044
1003.948707423763, 1897.2398237064626
1304.6414333899386, 2864.4525319002714
1707.9270347488232, 4413.8586727636975
2005.1398410642396, 5707.180551569379
2403.065730074351, 7531.512420365222
